original_text,adversarial_text,split
"New iMac Could Give Apple a Needed Boost Apple has been gaining share in the higher-margin laptop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last year.","a iMac Could buy microsoft a Needed Boost microsoft has been gaining share in the higher-margin laptop business, and its iphone franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 11.0 percent in 2011 to two billion last season.",calibration
"Madonna weighs in on Iraq Madonna made a rare foray into politics Tuesday, calling for her home country to withdraw its troops from Iraq during an interview with British radio, reports Agence France-Presse.","Madonna weighs in on turkey Madonna made a rare foray into us Tuesday, calling for her state country to withdraw its units from turkey during an interview with american radio, reports Agence France-Presse.",calibration
"Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on grid computing projects could get some tips from the candidates in this election season.","Politically Savvy office Managers Key to park site Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on a computing projects could get some tips from the candidates in this the season.",calibration
"Google Opens Office in Microsoft #39;s Backyard Google Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Opens Office in Microsoft #39;s Backyard android Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",calibration
"Charity boss kidnapped in Iraq A director of an international charity in Iraq has been kidnapped as she was being driven to work in Baghdad. Margaret Hassan, a British-born Iraqi national, was abducted in the capital, CARE International UK said in London.","Charity bank kidnap in uttar of manager of an other charitable in uttar has been kidnapped as she was being driving to work in mr. Margaret Hassan, a British-born sunni national, was abducted in the capital, charity International UK said in London.",calibration
"DaimlerChrysler, GM team on hybrids DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology that reduces harmful emissions, the companies said Monday.","DaimlerChrysler, the project on diesel DaimlerChrysler and General Motors will collaborate research new lithium motors to race against Japanese rivals on the fuel-saving technologies that reductions greenhouse emissions, the corporations explained Monday.",calibration
"S. Carolina Gets Spurrier Steve Spurrier takes over at South Carolina on Tuesday, returning to the college ranks after a three-year absence, and replacing Lou Holtz.","S. t becomes Spurrier steve Spurrier takes over at South university on Tuesday, winning to the tech coop after a three-year absence, and succeeding steve Holtz.",calibration
Free gin for UK juniper spotters The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.,Free gin for us juniper spotters The first who to sign up for a trial of the invasive juniper hedge in britain will win a free bottle of gin.,calibration
"Moscow: Space Station Has Lots of Oxygen The crew of the International Space Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.","Moscow: the Station Has Lots of Oxygen The crew of the International iss Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.",calibration
"Americans to Attend Trade Talks in Cuba (AP) AP - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export food to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.","Americans to Attend Trade Talks in Cuba (the) app - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export food to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.",calibration
