original_text,adversarial_text,split
"DIY print boom DIGITAL photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, download and manipulate them on a personal computer and either burn them on to a blank CD or","IDY prynt boom DIITAL photographxy continues to grow at a phenomenal rate. The ability to review images seconds after capture, dowlnoad and manipulate them on a personal comptuer and either bun them on to a blnk DC or",calibration
Oil extends advances Gold broke the \$450 a troy ounce level on Thursday for the first time since June 1988 as the dollar fell to a record low against the euro.,il xetends advancds nold bzroke the \$450 a troy uonce level on Thusrday for the first time since Juke 1988 as the dollar fell to a record low against the euro.,calibration
"New iMac Could Give Apple a Needed Boost Apple has been gaining share in the higher-margin laptop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last year.","New iaMc Could GVve Aplpe a Needed Boost Aple has been gaining share in the higher-margin latop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peka of 9.6 percent in 191 to 2 peprcent alst year.",calibration
"Madonna weighs in on Iraq Madonna made a rare foray into politics Tuesday, calling for her home country to withdraw its troops from Iraq during an interview with British radio, reports Agence France-Presse.","Madonna weighs in on rIaq Madonna made a rare foray into politcs Tuesday, ucalling for her ome countrxy to withdraw its troXops from IMaq during an interview with ritish radio, repors Agence France-Presse.",calibration
"Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on grid computing projects could get some tips from the candidates in this election season.","Politically avvy FIT Managers Key to Gird Preject Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on grdi comXputing projects could get some tips from the candidates in this elcetion season.",calibration
"Google Opens Office in Microsoft #39;s Backyard Google Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Opens Office in Microsoft #39;s Backyard GEoogle Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",calibration
Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.,Weqak indusftrial ouPput weighs on British rgowth (AFP) AFP - Britain's industriJal sectOor appaers to have been a igger dra on ovGerall economic growth in the third quater than was first assued.,calibration
"DaimlerChrysler, GM team on hybrids DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology that reduces harmful emissions, the companies said Monday.","DaimleChrysler, MG tema on hybrids DaimlerChrysler and Genreal Motors will jointlJ develop new hbrid motors to Bcompete against Japanese rivals on the fuel-saving techVnology that reduceGs harmbful emissions, the companeis sid Monday.",calibration
Free gin for UK juniper spotters The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.,Free gin for U juniper spoters The first volunteers to sign up for a surZey of the endangereA juniper hrub in Britain will win a free bottle of gin.,calibration
"S. Carolina Gets Spurrier Steve Spurrier takes over at South Carolina on Tuesday, returning to the college ranks after a three-year absence, and replacing Lou Holtz.","S. CaroAlina Gets Spurier SteZe Spuprier takes over at South Carolina on Tuesday, reurning to the collgee raks after a tree-year absence, and replacing Aou Voltz.",calibration
"Moscow: Space Station Has Lots of Oxygen The crew of the International Space Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.","Moscow: Skace Station Has Lots of Oxygen The crew of the International SpaSe Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.",calibration
"Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to find motivation in strange places, especially when they are far out of the playoff race.","KSman itchign to ply despit rjcent gurgery As a perpetual loeing franchise, the Cippers have been knwn to find Uotivation in strang places, especilly when they are far out of the playff race.",calibration
"Annan Names New Chief of Staff, Reform Push Seen UNITED NATIONS (Reuters) - U.N. Secretary-General Kofi Annan on Monday chose the head of a high-profile U.N. agency as his new chief of staff to help institute reforms and combat allegations of scandals.","tAnnan NameIs wew hCief of taff, eform Push Semen UXITED NATMIONS (Reuters) - U.N. Secretary-eGneral Kocfi Annqn on oMonday chose the ehad of a high-profile U.N. agenBy as his nw chie of staff to helv institute reforms and combat allegations of scandals.",calibration
