original_text,adversarial_text,split
"Houston Rockets Team Report - December 3 (Sports Network) - The Houston Rockets fell to the Dallas Mavericks in overtime, 113-106, at AmericanAirlines Center on Thursday. Tracy McGrady also had an excellent game, scoring a season-high 48 points on","Houston Missile Team Reports - December 3 (Sporty Internet) - The Houston Projectile fell to the Dulles Mavericks in ot, 113-106, at AmericanAirlines Center on Yesterday. Tracy McGrady furthermore had an excellent game, scoring a season-high 48 points on",calibration
"DIY print boom DIGITAL photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, download and manipulate them on a personal computer and either burn them on to a blank CD or","DIY print boom DIGITALLY photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, unloaded and manipulate them on a personal equipment and either burn them on to a blank DISKS or",calibration
"New iMac Could Give Apple a Needed Boost Apple has been gaining share in the higher-margin laptop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last year.","Novo iMac Does Give Mitt a Needed Boost Apple has been earning shares in the higher-margin portable business, and its droid franchise is a hit, but the company #39;s worldwide traded share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last yr.",calibration
"Charity boss kidnapped in Iraq A director of an international charity in Iraq has been kidnapped as she was being driven to work in Baghdad. Margaret Hassan, a British-born Iraqi national, was abducted in the capital, CARE International UK said in London.","Charity boss abduction in Afghani para director of an un philanthropic in Afghani has been kidnapping as she was being energized to work in Afghani. Intoxicating Huseyin, a British-born Bagdad national, was abducting in the finances, CARE International UK pointed in Glasgow.",calibration
"Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on grid computing projects could get some tips from the candidates in this election season.","Politically Adroit IL Administrative Key to Grill Plan Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - CHICAGO -- Information technology managers embarking on grid calculating ventures were got some tips from the candidates in this election season.",calibration
"Google Opens Office in Microsoft #39;s Backyard Google Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Open Office in Microsoft #39;s Backyard Google Inc. has opened an bureau just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",calibration
Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.,Frail industrial egress weighs on British augment (AFP) AFP - Britain's industrial zones occurs to have been a bigger drag on entire economical growth in the iii quarter than was first assumed.,calibration
"DaimlerChrysler, GM team on hybrids DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology that reduces harmful emissions, the companies said Monday.","DaimlerChrysler, MONSANTO team on hybrids DaimlerChrysler and Holistic Autos will jointly develop nuevo mixed motors to rivals against Japanese rivals on the fuel-saving technology that reducing harmful emissions, the enterprise said Tonight.",calibration
Free gin for UK juniper spotters The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.,Free gin for KINGDOM jove spotter The first volunteers to billboard up for a survey of the jeopardizes juniper shrub in England will win a free cylinders of rummy.,calibration
"Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to find motivation in strange places, especially when they are far out of the playoff race.","Kaman itching to gaming while recent surgery As a perpetual losing franchise, the Lawnmower have been known to find motivation in strange places, especially when they are far out of the playoff race.",calibration
