original_text,adversarial_text,split
"DIY print boom DIGITAL photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, download and manipulate them on a personal computer and either burn them on to a blank CD or","DIY print boom DIGITAL photography continues to fashion at a phenomenal rate. The ability to examine images right after take, produce and retrieve them on a hand paper and whether burns them on to a blank CD or",calibration
"New iMac Could Give Apple a Needed Boost Apple has been gaining share in the higher-margin laptop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last year.","New iMac Could Give Apple a Needed Boost Apple has been acquiring share in the higher-margin laptop business, and its iphone franchise is a hit, but the company #39;s globally sell share in PCs fell from a fall of 11.1 share in 2011 to 6 cents last year.",calibration
"Charity boss kidnapped in Iraq A director of an international charity in Iraq has been kidnapped as she was being driven to work in Baghdad. Margaret Hassan, a British-born Iraqi national, was abducted in the capital, CARE International UK said in London.","Charity boss of in Iraq of director of an local foundation in Iraq has been arrested as she was being taken to job in Baghdad. Margaret Hassan, a British-born iraq female, was arrested in the washington, CARE International UK said in tokyo.",calibration
"Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on grid computing projects could get some tips from the candidates in this election season.","Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER 2, three (COMPUTERWORLD) - pittsburgh -- energy technology managers embarking on utility technology programs had had some tipped from the candidates in this election season.",calibration
"Google Opens Office in Microsoft #39;s Backyard Google Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google launches Office in Microsoft #39;s Backyard Google Inc. has opened an account just down the road from rival Microsoft company. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",calibration
Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.,high industrial emissions weighs on British growth (AFP) AFP - Britain's iron sector appears to have been a bigger drag on overall industry growth in the past quarter than was first assumed.,calibration
"DaimlerChrysler, GM team on hybrids DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology that reduces harmful emissions, the companies said Monday.","DaimlerChrysler, toyota team on hybrids DaimlerChrysler and toyota motors will jointly develop new hybrid motors to race against Japanese manufacturers on the fuel-saving technology that reduces harmful epa, the companies told statement.",calibration
"Madonna weighs in on Iraq Madonna made a rare foray into politics Tuesday, calling for her home country to withdraw its troops from Iraq during an interview with British radio, reports Agence France-Presse.","of weighs in on turkey madonna made a notable foray into us on, called for her home country to remove its troops from isil during an interview with american radio, and Agence France-Presse.",calibration
Free gin for UK juniper spotters The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.,Free gin for UK juniper spotters The first winners to sign up for a survey of the vulnerable willow plant in Britain will win a discount bottles of gin.,calibration
"Americans to Attend Trade Talks in Cuba (AP) AP - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export food to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.","Americans to Attend Trade Talks in Cuba (sam) a - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export food to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.",calibration
"El Guerrouj hits gold again Hicham El Guerrouj shocks world record holder Kenenisa Bekele to win the 5,000m.","El Guerrouj a gold again Hicham El Guerrouj shocks world record holder Kenenisa Bekele to win the 5,000m.",calibration
"Beon Media #39;s GalleryPlayer a no-show Just two weeks ago, Beon Media founder Scott Lipsky was touting a partnership with Microsoft that he said would help the 27-person company distribute famous photographs, artwork and other digital images to thousands of computers and flat screen televisions","Beon Media #39;s GalleryPlayer a no-show Just two wednesday today, Beon sports executive Scott Lipsky was touting a partnership with windows that he said would help the 27-person company distribute famous photographs, artwork and other digital images to thousands of computers and flat screen televisions",calibration
Whole Foods' Healthy Outlook The natural foods chain is predicting double-digit sales growth until 2010.,the Foods' Healthy health s natural foods range is predicting double-digit sales growth until 2010.,calibration
"Texas Tech Gives Nebraska Worst Loss Ever (AP) AP - Texas Tech handed Nebraska its worst lost in the Cornhuskers' storied 114-year history, with Sonny Cumbie throwing for 436 yards and five touchdowns in the Red Raiders' 70-10 victory Saturday night.","Texas Tech Gives a Worst Loss Ever (AP) source - Texas tech handed omaha its maximum lost in the Cornhuskers' storied 114-year history, with Sonny Cumbie throwing for 436 yards and five touchdowns in the Red Raiders' 70-10 victory football night.",calibration
Electronic Arts Breaking Out Game kingpin and Motley Fool Stock Advisor recommendation Electronic Arts (Nasdaq: ERTS) has another hit on its hands. Madden NFL 2005 was the top-selling game its first week on the market.,Electronic Arts Breaking Out Game kingpin and Motley the Stock advisor recommendation Electronic arts (Nasdaq: ERTS) has another hit on its hands. Madden football 2005 was the top-selling game its first week on the market.,calibration
Chile prepares for international summit Chile has begun its security preparations for the upcoming international leaders meeting in Santiago of the Asia-Pacific Economic Co-operation group.,Chile prepares for international summit Chile has also its readiness preparations for the upcoming international ministers meeting in Santiago of the Asia-Pacific Economic Co-operation group.,calibration
"India Test Fires Nuclear-Capable Missile NEW DELHI (Reuters) - India successfully test fired a long-range nuclear-capable Agni II missile off its eastern coast Sunday, a defense ministry spokesman said.","India Test Fires Nuclear-Capable Missile NEW york (reuters) - India successfully test firing a long-range nuclear-capable Agni II laser off its west coast friday, a defense museum officials said.",calibration
"Dar Al Hayat The United States and Russia have met over one common thing: their war on terrorism, despite the fact that Washington and Moscow will definitely argue that the terrorism each one is fighting is different from the other.","Dar Al Hayat The United States and Russia have clashed over one common thing: their war on terrorism, but the fact that Washington and washington will definitely fight that the terrorism each one is facing is special from the other.",calibration
"Chelsea lay down the law on drugs as Mutu is shown door CHELSEA enforced a zero tolerance policy against drugs yesterday when they dismissed Adrian Mutu, the Romania striker, for gross misconduct after his positive test for cocaine.","the lay down the law on drugs as Mutu is shown that arsenal enforced a zero tolerance regime against drugs of when they dismissed Adrian Mutu, the Romania international, for drug vr after his positive trial for cocaine.",calibration
"What's your TLA IQ? Acronyms are the secret language of technology and biotech. If you have to ask what they mean, you're not an insider. There are even acronyms on top of acronyms: someone who peppers his speech with TLAs is fond of using ''three-letter acronyms. quot;","What's your TLA IQ? Acronyms are the secret language of technology and biotech. and you have to ask what they mean, you're not an tech. There are even acronyms on below of acronyms: someone who peppers his speech with TLAs is fond of using ''three-letter acronyms. quot;",calibration
"Mobile phones boost retail sales Retail sales picked up strongly in September, official figures show, helped by strong demand for mobile phones.","a phones boost retail sales Retail sales picked up strongly in September, official figures show, helped by strong demand for phone phones.",calibration
"Bell would be more than just Davids Buddy Buddy Bell knew the question was coming. To his credit, he had an answer ready for the media -- a good one. Bell interviewed for the Phillies vacant managerial position Monday.","the would be more than just Davids buddy Buddy bells recognized the questions was coming. and his hope, he had an solution now for the future -- a good one. call interviewed for the dodgers vacant managing job sunday.",calibration
Creative declares war on Apple EXPECT to see and hear Creative Technology everywhere as it embarks on a worldwide marketing campaign to snatch dominance of the digital music player market from Apple Computer.,Creative becomes war on apple EXPECT to watch and see Creative Technology on as it embarks on a corporate marketing venture to snatch dominant of the global musical music industry from a player.,calibration
Ex-Troops Fill Haiti's Security Vacuum Nation remains volatile eight months after Aristide's departure.,Ex-Troops for Haiti's a Vacuum time for volatile one months after Aristide's fall.,calibration
Indian PM to push for UN seat Indian Prime Minister Manmohan Singh is expected to seek a permanent UN Security Council seat for India in a speech in New York.,in pm to advocate for eu franchise Indian cm of Manmohan Singh is also to sought a the UN the board seat for India in a speech in New York.,calibration
"His status is not in the pink NORTON -- Had the numbers shaken out a bit differently, spectators at today's third round of the Deutsche Bank Championship would have had some color with their morning coffee.","His status is not in the pink thing -- Had the numbers shaken out a bit differently, spectators at today's third round of the Deutsche Bank challenge would have had some color with their morning coffee.",calibration
"Olympic Wrap: Crawford Wins the 200m Amid Jeers ATHENS (Reuters) - Shawn Crawford led an American sweep of Olympic medals in the 200 meters in Athens Thursday, ignoring the jeers of a hostile crowd livid that their local hero was not on the starting line after missing a doping test.","Olympic photo: Crawford Wins the 200m Amid Jeers greeks (Reuters) - Shawn Crawford led an American sweep of olympics medals in the 200 meters in Athens sunday, ignoring the jeers of a hostile crowd livid that their local hero was not on the starting line after missing a doping test.",calibration
"Rush rules himself out of race for Welsh job Ian Rush has ruled himself out of becoming the new Wales manager, instead opting to stay on as boss of English League Two side Chester City.","Rush rules himself out of race for Welsh jobs as Rush has aged himself out of becoming the new site managers, now opting to stay on as boss of English city Two side Chester City.",calibration
Murdoch will have to play by Australian rules Rupert Murdoch #39;s News Corporation yesterday agreed to be bound by key Australian rules when it reincorporates in the US. This will restrict Murdoch family #39;s ability to,he will have to player by Australian codes as Murdoch #39;s News media was agreed to be bound by key Australian games when it reincorporates in the uae. This will restrict Murdoch family #39;s ability to,calibration
"Irish identify with must-win Huskies The Notre Dame players have heard them all around campus this week, and theyre not listening to any of it. After all, wasnt it just a couple of weeks ago the same sort of negative","the association with must-win nationals our catholic Dame students have heard them all about university this day, and theyre not listening to any of it. After all, wasnt it just a couple of of all the same sorts of negative",calibration
"News: TRMM Sees Rain from Hurricanes Fall Around the World Since rain and freshwater flooding are the number one causes of death from hurricanes in the United States over the last 30 years, better understanding of these storms is vital for insuring public safety.","News: TRMM seen wet from Hurricanes Fall across the World with rain and caribbean flooding are the number one victims of death from hurricane in the United united over the last week years, better understanding of these storms is vital for insuring public safety.",calibration
University Up for Sale in Spoof Auction which plans to axe three academic departments to save money -as been put up for sale on the internet auction site eBay. The campus is on offer at 10 million in,University Up for Sale in Spoof from which plans to close three college departments to savings money -as been listed up for listing on the internet auction site eBay. The campus is on tender at 40 million in,calibration
"Tough Campaign Ahead for Bush #39;s Australian Ally Ending months of speculation, Australian Prime Minister John Howard has called an election for October 9, when he will become the first of the three","Tough win Ahead for me #39;s the Ally Ending months of speculation, american Prime Minister John such has called an election for October wednesday, when he will as the first of the three",calibration
"UN: N.Korea Sends Positive Message on Atomic Talks The South Korean Unification Ministry said Nov. 24, 2004, that North Korea gave a visiting UN official a #39;very positive message #39; about resuming stalled six-way talks on its nuclear programs.","UN: N.koreans Sends to cable on Atomic cooperation of korean Korean Unification Ministry said Nov. 24, 2004, that the korean gave a visiting un official a #39;very positive message #number; about resuming stalled six-way talks on its energy programs.",calibration
