original_text,adversarial_text,split
"Houston Rockets Team Report - December 3 (Sports Network) - The Houston Rockets fell to the Dallas Mavericks in overtime, 113-106, at AmericanAirlines Center on Thursday. Tracy McGrady also had an excellent game, scoring a season-high 48 points on","Dallas Projectile Computer Reporting - September 3 (Sports Webs) - The Houston Rockets fell to the Dali Mavericks in overtime, 113-106, at AmericanAirlines Centres on Mondays. Tracy McGrady even had an marvelous game, score a season-high 48 pixels on",calibration
"DIY print boom DIGITAL photography continues to grow at a phenomenal rate. The ability to review images seconds after capture, download and manipulate them on a personal computer and either burn them on to a blank CD or","DIY footprint boom DIGITAL picture continues to grow at a phenomenal rate. The ability to reviews images seconds after capture, unloading and manipulate them on a personal computer and neither arson them on to a blanco SF or",calibration
Oil extends advances Gold broke the \$450 a troy ounce level on Thursday for the first time since June 1988 as the dollar fell to a record low against the euro.,Petrol extends inroads Gold broke the \$450 a troy gram echelons on Today for the first dates oj Juni 1988 as the aussie fell to a record minimal against the euro.,calibration
"New iMac Could Give Apple a Needed Boost Apple has been gaining share in the higher-margin laptop business, and its iPod franchise is a hit, but the company #39;s worldwide market share in PCs fell from a peak of 9.6 percent in 1991 to 2 percent last year.","Nueva iMac Could Confer Potato a Need Boost Abel has been gaining share in the higher-margin laptop business, and its droid franchise is a hit, but the company #39;s world trade share in PCs fell from a apogee of 9.6 percent in 1991 to 2 percent last year.",calibration
"Charity boss kidnapped in Iraq A director of an international charity in Iraq has been kidnapped as she was being driven to work in Baghdad. Margaret Hassan, a British-born Iraqi national, was abducted in the capital, CARE International UK said in London.","Charity patron kidnapped in Afghanis A director of an international charitable in Kabul has been kidnapped as she was being energized to work in Kabul. Margaret Huseyin, a British-born Bagdad national, was abducted in the capitalization, ZORG International UK stated in London.",calibration
"Politically Savvy IT Managers Key to Grid Project Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on grid computing projects could get some tips from the candidates in this election season.","Politically Savvy THAT Managers Key to Grill Drafts Success SEPTEMBER 20, 2004 (COMPUTERWORLD) - PHILADELPHIA -- Information technology managers embarking on mesh calculate projects could get some tips from the candidate in this opt season.",calibration
"Google Opens Office in Microsoft #39;s Backyard Google Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.","Google Opens Office in Microsoft #39;s Backyard Yahoo Inc. has opened an office just down the road from rival Microsoft Corp. #39;s headquarters in Seattle #39;s suburbs as it seeks to lure local engineering talent, the No.",calibration
"Badgers fans hyped about teams undefeated season Never in the University of Wisconsin football programs 115-year history have the Badgers been 10-0. That could happen today in East Lansing, Mich.","Skunk fans touted about teams insurmountable season Never in the University of Wi footballs emissions 115-year history have the Weasel been 10-0. That could happen nowadays in Southeastern Lansing, Mich.",calibration
Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.,Weak industrial egress weigh on British augmentation (AFP) AFP - Britain's industrial spheres appears to have been a greater slut on holistic economical growth in the third trimester than was first hypothesis.,calibration
"DaimlerChrysler, GM team on hybrids DaimlerChrysler and General Motors will jointly develop new hybrid motors to compete against Japanese rivals on the fuel-saving technology that reduces harmful emissions, the companies said Monday.","DaimlerChrysler, GE computers on hybrids DaimlerChrysler and General Motors will jointly develop new mixed motorcar to competitor against Japanese rivals on the fuel-saving techno that decreases detrimental emissions, the enterprise said Today.",calibration
Free gin for UK juniper spotters The first volunteers to sign up for a survey of the endangered juniper shrub in Britain will win a free bottle of gin.,Free gin for BRITON juniper spotters The first volunteers to sign up for a survey of the jeopardizes juniper shrub in Britain will win a free bottle of dee.,calibration
"Kaman itching to play despite recent surgery As a perpetual losing franchise, the Clippers have been known to find motivation in strange places, especially when they are far out of the playoff race.","Kaman dermatitis to gaming though newer operating As a perpetual losing sincerity, the Chainsaws have been renowned to find motivation in nosy places, specially when they are eminently out of the playoff bullfight.",calibration
"Moscow: Space Station Has Lots of Oxygen The crew of the International Space Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.","Moscow: Separation Station Has Lots of Oxygen The crew of the Internationally Separation Station is not in danger of running out of oxygen, Russian controllers said Friday. Gennady Padalka and Michael Fincke are breathing oxygen from reserves aboard the station, Itar-Tass reported.",calibration
"Americans to Attend Trade Talks in Cuba (AP) AP - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export food to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.","Americans to Attend Trade Talks in Cuba (APS) HECTARE - Two years ago in December, fewer than 30 U.S. business representatives came to Havana to sign agreements with Cuban officials to export eating to the Caribbean island. This week, Cuba expects more than 340 people #151; primarily producers of American farm goods #151; to attend the latest round of talks, in which communist officials hope to sign deals worth about #36;100 million.",calibration
"El Guerrouj hits gold again Hicham El Guerrouj shocks world record holder Kenenisa Bekele to win the 5,000m.","El Guerrouj jolts gold again Hicham El Guerrouj shocked world registering holder Kenenisa Bekele to win the 5,000m.",calibration
"Beon Media #39;s GalleryPlayer a no-show Just two weeks ago, Beon Media founder Scott Lipsky was touting a partnership with Microsoft that he said would help the 27-person company distribute famous photographs, artwork and other digital images to thousands of computers and flat screen televisions","Beon Media #39;s GalleryPlayer a no-show Just three chow ago, Beon Media founder Scott Lipsky was touting a partnership with Adobe that he said cannot help the 27-person company dispense eminent pictures, painting and other digital images to mile of teams and plat strainer televisions",calibration
Whole Foods' Healthy Outlook The natural foods chain is predicting double-digit sales growth until 2010.,Overall Foods' Healthy Outlook The natural foods chaining is predicting double-digit salts growth until 2010.,calibration
"Message loud and clear A funny thing happened as Orlando Cabrera triumphantly rounded the bases after he knocked in Johnny Damon with his walkoff double off the Green Monster in Tuesday's 5-4 thriller over the Blue Jays. In the stands, Cabrera's wife, Eliana, noticed during the celebration her cellphone ringing. And ringing. And ringing.","Messaging vowel and lucid A funny ding landed as Orlando Cabrera joyfully rounding the bases after he socked in Jimi Affleck with his walkoff double off the Green Geek in Tuesday's 5-4 paranormal over the Blue Yankees. In the stands, Cabrera's wife, Eliana, remarked during the celebration her cellphone piercings. And piercings. And ringtone.",calibration
S.E.C. Warns American Exchange Officials of Civil Charges The top three executives of the American Stock Exchange may face civil charges for failing to properly enforce the exchange's rules.,S.E.C. Warns American Exchange Officials of Civil Charges The top three executives of the American Inventories Exchange may face civil charges for failing to properly enforce the exchange's rules.,calibration
"Phish farewell attracts thousands ""Jam band"" Phish play their last gigs together at a special festival in the US which has attracted thousands of fans.","Phish goodbyes attracts miles ""Jam banding"" Phish gambling their yesteryear gigs together at a specific fest in the US which has enticed thousands of fans.",calibration
"Boston Scientific stent sales set record Boston Scientific Corp. said yesterday it sold \$8.3 million worth of its Taxus drug-coated cardiac stents per day this month, a record level the Natick medical-devices giant said demonstrates it has won back doctors' confidence after three recalls.","Harvard Scientific stent sales gaming record Seattle Scientific Enterprise. says today it commercialized \$8.3 million worthwhile of its Taxus drug-coated cardiac stents per date this mio, a registering tiers the Natick medical-devices colossus says demonstrates it has won back doctors' trustworthy after three reminds.",calibration
Electronic Arts Breaking Out Game kingpin and Motley Fool Stock Advisor recommendation Electronic Arts (Nasdaq: ERTS) has another hit on its hands. Madden NFL 2005 was the top-selling game its first week on the market.,Electronic Arts Breaking Out Stake kingpin and Motley Fool Stock Advisor recommendation Electronic Arts (Nasdaq: ERTS) has another hit on its hands. Madden NFL 2005 was the top-selling game its first week on the market.,calibration
"Hitting some new heights At East Providence (R.I.) High, where he starred for four years at running back and linebacker, Jamie Silva said he played football at only one speed: quot;all-out. quot;","Hitting some novel scip Across East Welfare (rupees.I.) High, where he streep for four centuries at implementation back and linebacker, Jimi Silva pointed he played football at only one acceleration: quot;all-out. quot;",calibration
Chile prepares for international summit Chile has begun its security preparations for the upcoming international leaders meeting in Santiago of the Asia-Pacific Economic Co-operation group.,Chile prepares for international summit Chile has begun its insurance preparations for the upcoming international leaders meeting in Santiago of the Asia-Pacific Economic Co-operation group.,calibration
"Tech Stocks End Slightly Higher on Intel US technology stocks ended up slightly on Friday, lifted by a higher sales forecast from bellwether Intel Corp. (INTC.O: Quote, Profile, Research) , while a disappointing jobs report capped blue-chip gains.","Tech Inventories End Slightly Tertiary on Intel OUR technology stocks terminate up slightly on Mardi, deleted by a superior sales predictions from bellwether Intel Corp. (INTC.macau: Cite, Profiling, Research) , while a frustrating workplace inform capped blue-chip gains.",calibration
Blue chip lowers long-term growth targets NEW YORK (CBS.MW) -- Coca-Cola Co. said Thursday it anticipates weakness in several key markets in 2005 and lowered long-term targets for both volume and operating income growth.,Blu chip lowering long-term growth targets RECENT BRONX (CB.HYDROELECTRIC) -- Coca-Cola Co. said Today it anticipates flaw in various key markets in 2005 and reduction long-term targets for both volume and operation revenue grow.,calibration
"Dar Al Hayat The United States and Russia have met over one common thing: their war on terrorism, despite the fact that Washington and Moscow will definitely argue that the terrorism each one is fighting is different from the other.","Giving Al Llfe The United States and Russia have attained over one common thing: their war on terrorism, despite the fact that Washington and Ross will definitely argue that the terrorism each one is fighting is different from the other.",calibration
"Firepower in Fallujah shocks Puyallup Marine LANDSTUHL, Germany - For Lance Cpl. Travis Schafer, 20, a Marine from Puyallup, the attack on the insurgent stronghold of Fallujah lasted less than a day.","Firepower in Fallujah shocks Puyallup Nautical LANDSTUHL, Hessian - For Launches Cpl. Dustin Schafer, 20, a Marina from Puyallup, the attack on the rebellious fortress of Fallujah made less than a day.",calibration
"Yahoo Survey Reveals #39;Web Withdrawal #39; For some people, carrying on a normal routine without the Web is almost impossible, because the Internet #39;s tools and services have become firmly ingrained in their daily lives, according to the Internet Deprivation Study.","Google Survey Reveals #39;Webb Pulls #39; For some people, hauling on a everyday routine unless the Online is virtually unattainable, because the Internet #39;s tool and amenities have become firmly ingrained in their routine lives, according to the Electronic Squalor Study.",calibration
"Jiang backs Hu, chants military unity mantra : Chinas freshly retired military leader Jiang Zemin threw his weight behind his successor Hu Jintao today and advised the armed forces never to renounce the use of force to reclaim Taiwan.","Jiang backs Xu, chants military consistency mantra : Chinas lately pensioners military leaders Jiang Zemin threw his weights backside his inheriting Hu Jintao today and reminded the heeled forces never to renounce the use of workforce to recoup Guangzhou.",calibration
"Mobile phones boost retail sales Retail sales picked up strongly in September, official figures show, helped by strong demand for mobile phones.","Notebook phones boost retail sales Retail sales picked up strongly in September, official figures show, helped by strong demand for mobile phones.",calibration
"Apple under scrutiny as music competition rises Apple Computer may have sold more than twice as many of its iPod digital music players in its most recent quarter than its signature Mac computers, but competitors","Potato under checks as music competition rises Shoemaker Computers may have sold more than twice as many of its iPod digital music players in its most recent quarter than its signer Procurer computers, but competitors",calibration
"Bell would be more than just Davids Buddy Buddy Bell knew the question was coming. To his credit, he had an answer ready for the media -- a good one. Bell interviewed for the Phillies vacant managerial position Monday.","Bell would be more than just Davids Buddy Buddy Bell knew the question was coming. To his credit, he had an answer ready for the media -- a good one. Bell interviewed for the Cigars vacant managerial position Monday.",calibration
Apple offers fix for PowerBook white spots Apple has announced a programme to repair certain 15in PowerBooks whose screens have been found to show faint white spots. The 15in PowerBook G4 Display Repair Extension Program will provide free repairs for,Potato offers fix for PowerBook bianco spots Mitt has proclaim a agendas to repair certain 15in PowerBooks whose screens have been finds to show faint bianca spots. The 15in PowerBook G4 Exposition Reparation Extension Program will provide free repairs for,calibration
Creative declares war on Apple EXPECT to see and hear Creative Technology everywhere as it embarks on a worldwide marketing campaign to snatch dominance of the digital music player market from Apple Computer.,Ingenious declares war on Cobbler EXPECT to consults and hear Creative Technology everywhere as it embarks on a worldwide marketing crusade to snatch dominance of the digital musicians player market from Shoemaker Computerized.,calibration
"Alitalia Unions Reject Rescue Plan, Job Cuts quot;Unbearable, quot; quot;worrisome quot; and quot;not convincing quot; were expressions used by employee representatives in response to an Alitalia management proposal to save the company, but they nonetheless agreed to continue talks.","Alitalia Unionists Reject Rescue Programme, Occupations Compressions quot;Unbearable, quot; quot;worrisome quot; and quot;not persuade quot; were expressions used by staff representatives in replies to an Alitalia admin suggested to save the company, but they however consented to persevere talks.",calibration
Global library heralds new information era (AFP) AFP - Moves by Internet search giant Google to create a global virtual library could signal a communications revolution on a par with Johann Gutenberg and the invention of moveable type in the 15th century.,Overall auditorium heralds novel particulars moment (AFP) AFP - Moves by Electronic searched giant Aol to establish a global virtual library did signal a contacts intifada on a par with Johann Jerome and the imaginative of moveable genre in the 15th century.,calibration
"Beige Book shows growth, despite energy tab WASHINGTON (CBS.MW) -- The economy grew in most regions of the United States in September and early October, despite signs that higher energy costs are beginning to bite, the Federal Reserve said Wednesday.","Teal Textbook shows growth, despite energy tab WASHINGTON (CB.PM) -- The savings grew in most domains of the United States in Sept and quick October, despite signs that tertiary energy costs are beginning to bite, the Federal Rez said Mon.",calibration
